Date,Open,High,Low,Close,Volume
2024-02-02,2313.83,2329.88,2286.68,2303.7,50979.9075
2024-02-03,2303.7,2313.19,2286.68,2301.77,46441.1234
2024-02-04,2301.77,2338.36,2267.54,2298.41,63504.8977
2024-02-05,2298.41,2349,2283.76,2343.74,68825.1666
2024-02-06,2343.74,2392.29,2340.51,2369.73,65031.2761
2024-02-07,2369.73,2463.22,2368.67,2453.86,65687.4258
2024-02-08,2453.86,2524.04,2413.58,2495.16,73762.4081
2024-02-09,2495.16,2523.22,2471.78,2490.55,61354.2728
2024-02-10,2490.55,2539.71,2483.35,2508.92,51244.4091
2024-02-11,2508.92,2562.98,2472.2,2557.86,57052.6297
2024-02-12,2557.86,2686.03,2536.59,2631.09,127449.0396
2024-02-13,2631.09,2771.52,2592.56,2749.43,83522.0054
2024-02-14,2749.43,2867.18,2726.74,2826.38,102373.77
2024-02-15,2826.38,2857.38,2743.56,2775.99,92279.6382
2024-02-16,2775.99,2810,2719.11,2754.4,66458.4313
2024-02-17,2754.4,2822.95,2742.7,2807.32,49449.3427
2024-02-18,2807.32,2931,2794.17,2908.95,74938.7613
2024-02-19,2908.95,3004.5,2874.42,2925.23,113932.6704
2024-02-20,2925.23,3032.96,2869.06,2914.82,113528.0362
2024-02-21,2914.82,3032.78,2886.04,2986.99,104743.2445
2024-02-22,2986.99,3036.39,2913.24,2916.07,89437.0344
2024-02-23,2916.07,2968.82,2906.25,2955.36,54715.4364
2024-02-24,2955.36,3073.87,2955.35,3043.64,93708.4131
2024-02-25,3043.64,3146.09,3027.84,3145.58,104942.4113
2024-02-26,3145.58,3288.2,3127.99,3229.5,151275.3696
2024-02-27,3229.5,3376.43,3204,3348.49,157574.9389
2024-02-28,3348.49,3522.92,3180,3468.24,308206.8831
2024-02-29,3468.24,3470.51,3300.17,3390.71,188074.8689
2024-03-01,3390.71,3460,3380.25,3418.09,84415.0659
2024-03-02,3418.09,3447.37,3360.13,3422.31,72250.7284
2024-03-03,3422.31,3567.69,3418.27,3559.78,143030.277
2024-03-04,3559.78,3821.82,3529.17,3782.81,233195.7807
2024-03-05,3782.81,3901.12,3190.06,3790.64,462716.7725
2024-03-06,3790.64,3892.57,3734.94,3837.21,59643.0433
2024-03-07,3837.21,3993.71,3813.65,3901.05,73045.0395
2024-03-08,3901.05,3977.41,3823.4,3916.89,111851.6165
